frame,0.0-5.0,5.0-10.0,10.0-15.0,15.0-20.0,20.0-25.0,25.0-30.0,30.0-35.0,35.0-40.0,40.0-45.0,45.0-50.0,50.0-55.0,55.0-60.0,60.0-65.0,65.0-70.0,70.0-75.0,75.0-80.0,80.0-85.0,85.0-90.0,90.0-95.0,95.0-100.0,100.0-105.0,105.0-110.0,110.0-115.0,115.0-120.0,120.0-125.0,125.0-130.0,130.0-135.0,135.0-140.0,140.0-145.0,145.0-150.0,150.0-155.0,155.0-160.0,160.0-165.0,165.0-170.0,170.0-175.0,175.0-180.0
556,3,0,0,1,0,0,0,2,0,0,0,1,2,0,2,0,1,4,2,0,1,2,2,1,1,1,0,1,0,1,1,1,0,1,1,4
561,2,2,0,0,0,1,1,0,1,0,1,0,1,2,1,0,1,0,2,1,1,0,2,1,1,2,1,2,1,2,0,1,3,1,2,0
566,2,1,1,0,0,1,1,1,0,1,1,1,2,1,1,0,1,1,0,0,2,1,0,1,0,1,1,0,0,2,1,3,1,0,3,1
571,1,2,1,1,0,0,1,1,1,0,1,3,2,0,0,2,1,2,2,2,2,1,1,0,3,1,1,2,0,2,1,2,2,1,1,0
576,1,2,1,1,0,0,2,2,0,2,0,2,0,0,2,2,0,2,5,2,2,1,1,2,1,2,1,0,1,1,1,1,2,1,3,1
581,4,0,1,0,0,0,0,1,3,0,1,1,1,0,2,0,1,3,2,1,2,0,1,1,4,2,1,0,2,2,0,1,1,1,2,1
586,0,0,0,2,0,0,2,2,1,0,1,0,1,0,4,2,0,3,1,1,0,0,3,1,2,1,1,2,0,2,0,4,0,3,2,2
591,2,2,2,1,0,3,1,1,0,2,0,1,1,1,2,1,3,2,0,1,0,0,1,0,1,1,1,2,1,1,2,1,2,1,1,2
596,2,1,5,1,1,2,1,0,0,1,2,0,0,0,1,1,0,4,0,1,1,3,1,1,1,1,2,2,3,0,1,0,0,2,2,2
601,0,3,1,0,2,0,1,2,0,1,2,1,1,1,1,1,0,1,1,1,3,0,2,1,1,1,1,1,0,4,0,1,2,2,3,0
606,1,2,1,0,0,2,3,0,0,0,1,1,1,2,1,3,2,1,0,3,1,2,1,2,0,3,0,0,0,1,1,1,1,2,2,3
611,0,2,0,1,1,2,0,1,0,1,0,0,1,1,1,1,1,1,2,1,0,2,1,2,1,1,1,0,1,0,1,2,2,1,0,4
616,2,1,1,1,0,0,0,1,2,0,2,0,2,1,1,1,1,2,1,0,1,1,1,4,1,0,1,0,2,0,0,1,2,2,1,2
621,1,1,2,0,1,2,1,0,1,1,1,0,1,1,3,0,1,2,0,2,2,1,2,0,1,0,0,0,1,1,0,0,0,4,2,2
626,2,1,0,0,1,2,0,1,0,2,1,0,1,0,1,0,0,1,1,3,1,0,2,1,1,0,0,1,3,1,0,0,3,1,0,3
631,0,1,0,2,0,0,1,1,2,1,0,0,0,0,3,1,1,2,1,3,2,0,0,0,1,0,0,1,3,1,1,1,4,2,0,1
636,3,0,2,3,1,1,0,0,3,1,0,1,0,1,2,0,1,0,3,1,2,0,3,1,3,0,0,0,2,0,0,0,4,0,2,3
641,2,1,0,1,1,1,1,0,1,0,0,1,1,0,3,1,0,3,0,0,2,1,1,2,2,1,1,0,1,0,0,1,1,1,0,0
646,0,2,0,0,1,0,1,1,3,0,1,0,2,1,2,0,1,1,2,1,3,2,0,1,2,0,3,1,2,2,0,0,3,3,3,2
651,0,2,2,1,0,0,1,0,1,1,0,2,1,0,1,0,1,1,1,1,1,4,2,1,1,2,1,0,3,0,1,1,2,0,1,2
656,1,2,2,0,0,1,1,0,1,0,1,2,2,2,2,1,0,0,2,2,2,0,2,2,0,1,1,1,2,1,0,0,1,1,3,1
661,1,0,0,0,1,1,0,2,0,0,2,0,2,1,2,1,0,2,0,2,2,0,0,1,0,2,0,2,2,0,0,1,2,3,0,3
666,3,2,3,0,0,3,2,2,0,0,2,1,0,2,1,0,1,5,3,1,1,2,3,1,1,1,0,1,0,2,0,0,1,3,2,1
671,4,0,0,0,0,0,1,2,0,1,1,0,1,1,1,0,2,1,1,3,1,1,0,0,0,0,3,2,1,1,1,0,2,2,0,2
676,2,0,2,0,0,3,1,0,2,0,0,1,0,2,0,2,2,2,1,1,3,1,0,1,1,0,1,2,3,1,1,1,0,2,3,1
681,2,0,3,0,0,0,1,1,1,2,1,0,1,0,0,3,2,1,2,1,1,3,1,0,0,0,1,0,1,3,1,1,1,1,2,2
686,1,2,2,0,0,2,0,0,0,0,0,0,1,0,1,2,1,2,3,1,3,3,0,1,0,0,1,2,2,1,0,0,1,2,3,2
691,2,1,1,0,1,2,0,0,1,0,1,0,4,0,3,1,0,2,2,0,1,2,0,2,2,0,1,2,1,0,2,1,1,0,3,4
696,2,2,1,1,0,0,2,0,0,0,1,0,1,2,2,1,0,3,2,3,0,0,2,0,2,0,0,1,2,1,1,1,2,0,3,4
701,1,0,2,0,0,1,2,0,0,0,0,0,2,2,0,1,1,2,2,3,2,2,0,4,1,0,0,2,0,3,2,2,1,1,1,2
706,4,0,0,1,2,0,0,1,0,0,2,3,0,1,3,0,0,0,3,2,0,2,0,3,1,0,2,1,2,1,0,1,1,2,2,1
711,0,1,1,1,1,1,0,2,1,0,0,2,2,0,1,0,3,1,1,2,0,2,3,0,2,0,0,2,1,2,0,1,1,0,1,2
716,4,0,1,2,1,1,1,0,1,0,0,0,1,1,4,0,0,1,3,0,1,0,2,2,0,0,1,3,0,2,0,1,1,1,1,2
721,1,0,2,1,1,1,1,0,0,0,2,2,0,1,1,1,0,3,2,2,1,0,5,2,0,1,1,1,1,1,0,2,3,0,3,1
726,3,1,1,1,0,0,0,2,1,0,1,0,0,1,1,2,1,1,3,2,1,1,3,1,1,1,0,0,2,1,1,0,1,0,3,2
731,5,1,2,0,1,0,0,1,1,0,4,1,1,1,2,1,0,1,4,2,2,0,2,1,0,0,2,0,0,2,0,1,0,2,2,0
736,3,1,0,1,0,1,1,0,0,0,0,0,1,1,3,1,1,3,1,4,0,0,4,0,0,0,0,2,0,1,0,1,1,0,1,2
741,1,0,2,2,0,1,0,1,1,2,0,0,1,0,2,1,0,1,1,2,1,1,0,4,0,0,1,3,0,1,1,1,1,0,3,0
746,2,2,2,0,2,0,2,0,1,0,1,0,0,3,0,0,1,2,1,2,1,0,3,0,2,2,1,0,1,1,0,0,0,2,5,1
751,1,1,1,2,1,1,0,2,1,0,0,0,0,3,2,3,1,1,3,0,2,2,2,2,0,0,1,1,1,0,1,1,2,1,3,4
756,2,0,0,3,0,0,1,0,0,1,1,0,0,2,0,2,1,2,0,2,2,2,2,1,0,0,0,0,0,0,2,0,2,0,4,2
761,1,3,1,1,0,0,1,1,0,1,1,0,0,1,1,1,4,3,3,2,0,0,3,0,0,1,0,0,1,0,1,0,1,2,2,2
766,2,0,0,1,2,1,0,0,0,0,0,2,1,1,1,1,1,2,1,4,0,1,0,2,1,0,0,0,1,0,0,0,2,1,1,3
771,2,0,1,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,1,1,1,3,2,1,1,1,0,2,2,1,1,1,1,1,0
776,1,0,2,0,0,0,0,0,0,1,0,1,3,1,1,2,1,1,1,2,1,2,1,0,0,2,2,1,0,4,1,2,1,1,0,3
